,date,ticker_stock1,open_stock1,high_stock1,low_stock1,close_stock1,volume_stock1,count_stock1,wap_stock1,ticker_stock2,open_stock2,high_stock2,low_stock2,close_stock2,volume_stock2,count_stock2,wap_stock2,spread,mean_spread,std_spread,z_score,signal
0,2024-06-27 12:40:10,CVLT,119.87,119.87,119.87,119.87,0.0,0.0,119.87,TXRH,174.0,174.0,174.0,174.0,0.0,0.0,174.0,-54.129999999999995,,,,None
1,2024-06-27 12:40:15,CVLT,119.87,119.87,119.87,119.87,0.0,0.0,119.87,TXRH,174.0,174.0,174.0,174.0,0.0,0.0,174.0,-54.129999999999995,,,,None
2,2024-06-27 12:40:20,CVLT,119.95,119.95,119.95,119.95,400.0,4.0,119.95,TXRH,174.0,174.0,174.0,174.0,0.0,0.0,174.0,-54.05,,,,None
3,2024-06-27 12:40:25,CVLT,119.95,119.95,119.95,119.95,0.0,0.0,119.95,TXRH,174.0,174.0,174.0,174.0,100.0,1.0,174.0,-54.05,,,,None
4,2024-06-27 12:40:30,CVLT,119.95,119.95,119.95,119.95,0.0,0.0,119.95,TXRH,173.99,173.99,173.99,173.99,200.0,1.0,173.99,-54.040000000000006,,,,None
5,2024-06-27 12:40:35,CVLT,119.95,119.95,119.95,119.95,0.0,0.0,119.95,TXRH,174.04,174.04,174.04,174.04,146.0,1.0,174.04,-54.08999999999999,,,,None
6,2024-06-27 12:40:40,CVLT,119.95,119.95,119.95,119.95,0.0,0.0,119.95,TXRH,174.04,174.04,174.04,174.04,0.0,0.0,174.04,-54.08999999999999,,,,None
7,2024-06-27 12:40:45,CVLT,119.95,119.95,119.95,119.95,0.0,0.0,119.95,TXRH,174.03,174.03,174.03,174.03,100.0,1.0,174.03,-54.08,,,,None
8,2024-06-27 12:40:50,CVLT,119.95,119.95,119.95,119.95,0.0,0.0,119.95,TXRH,174.01,174.01,174.01,174.01,100.0,1.0,174.01,-54.05999999999999,,,,None
9,2024-06-27 12:40:55,CVLT,119.95,119.95,119.95,119.95,0.0,0.0,119.95,TXRH,174.01,174.01,174.01,174.01,0.0,0.0,174.01,-54.05999999999999,,,,None
