Ticker
CAC
CCS
CIVB
CNOB
DCOM
FISI
FLIC
FRST
IBTX
JOAN
KBH
LBAI
LEN
LILA
LILAK
MDC
MHO
MNTS
MTH
MYFW
NWBI
OCFC
PHM
PPBI
RBB
SFST
TCBK
TCMD
THFF
TMHC
TMP
TPH
WSBC
