,date,ticker,open,high,low,close,volume,count,wap
59,2024-06-24 10:33:15,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
58,2024-06-24 10:33:20,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
57,2024-06-24 10:33:25,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
56,2024-06-24 10:33:30,SPXC,144.11,144.11,144.11,144.11,103,1,144.11
55,2024-06-24 10:33:35,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
54,2024-06-24 10:33:40,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
53,2024-06-24 10:33:45,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
52,2024-06-24 10:33:50,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
51,2024-06-24 10:33:55,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
50,2024-06-24 10:34:00,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
49,2024-06-24 10:34:05,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
48,2024-06-24 10:34:10,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
47,2024-06-24 10:34:15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
46,2024-06-24 10:34:20,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
45,2024-06-24 10:34:25,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
44,2024-06-24 10:34:30,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
43,2024-06-24 10:34:35,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
42,2024-06-24 10:34:40,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
41,2024-06-24 10:34:45,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
40,2024-06-24 10:34:50,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
39,2024-06-24 10:34:55,SPXC,143.9,143.9,143.9,143.9,215,2,143.9
38,2024-06-24 10:35:00,SPXC,143.9,143.9,143.9,143.9,0,0,143.9
37,2024-06-24 10:35:05,SPXC,144.0,144.0,144.0,144.0,100,1,144.0
36,2024-06-24 10:35:10,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
35,2024-06-24 10:35:15,SPXC,144.0,144.0,143.99,144.0,1300,13,143.9988461538462
34,2024-06-24 10:35:20,SPXC,144.0,144.0,144.0,144.0,100,1,144.0
33,2024-06-24 10:35:25,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
32,2024-06-24 10:35:30,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
31,2024-06-24 10:35:35,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
30,2024-06-24 10:35:40,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
29,2024-06-24 10:35:45,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
28,2024-06-24 10:35:50,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
27,2024-06-24 10:35:55,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
26,2024-06-24 10:36:00,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
25,2024-06-24 10:36:05,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
24,2024-06-24 10:36:10,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
23,2024-06-24 10:36:15,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
22,2024-06-24 10:36:20,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
21,2024-06-24 10:36:25,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
20,2024-06-24 10:36:30,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
19,2024-06-24 10:36:35,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
18,2024-06-24 10:36:40,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
17,2024-06-24 10:36:45,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
16,2024-06-24 10:36:50,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
15,2024-06-24 10:36:55,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
14,2024-06-24 10:37:00,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
13,2024-06-24 10:37:05,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
12,2024-06-24 10:37:10,SPXC,144.22,144.22,144.22,144.22,172,1,144.22
11,2024-06-24 10:37:15,SPXC,144.22,144.22,144.22,144.22,0,0,144.22
10,2024-06-24 10:37:20,SPXC,144.22,144.22,144.22,144.22,0,0,144.22
9,2024-06-24 10:37:25,SPXC,144.03,144.04,144.03,144.03,200,2,144.035
8,2024-06-24 10:37:30,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
7,2024-06-24 10:37:35,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
6,2024-06-24 10:37:40,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
5,2024-06-24 10:37:45,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
4,2024-06-24 10:37:50,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
3,2024-06-24 10:37:55,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
2,2024-06-24 10:38:00,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
1,2024-06-24 10:38:05,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
0,2024-06-24 10:38:10,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
