date,ticker_stock1,open_stock1,high_stock1,low_stock1,close_stock1,volume_stock1,count_stock1,wap_stock1,ticker_stock2,open_stock2,high_stock2,low_stock2,close_stock2,volume_stock2,count_stock2,wap_stock2
2024-06-24 10:33:15,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
2024-06-24 10:33:20,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
2024-06-24 10:33:25,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.03,144.03,144.03,144.03,0,0,144.03
2024-06-24 10:33:30,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.11,144.11,144.11,144.11,103,1,144.11
2024-06-24 10:33:35,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:33:40,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:33:45,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:33:50,EPAC,39.18,39.18,39.18,39.18,100,1,39.18,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:33:55,EPAC,39.16,39.16,39.16,39.16,200,2,39.16,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:00,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:05,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:10,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:15,EPAC,39.15,39.15,39.15,39.15,600,3,39.15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:20,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:25,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:30,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:35,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:40,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:45,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:50,EPAC,39.15,39.15,39.15,39.15,300,1,39.15,SPXC,144.11,144.11,144.11,144.11,0,0,144.11
2024-06-24 10:34:55,EPAC,39.15,39.19,39.15,39.19,1519,10,39.15263331138907,SPXC,143.9,143.9,143.9,143.9,215,2,143.9
2024-06-24 10:35:00,EPAC,39.15,39.19,39.15,39.19,1145,7,39.15349344978166,SPXC,143.9,143.9,143.9,143.9,0,0,143.9
2024-06-24 10:35:05,EPAC,39.15,39.19,39.15,39.19,900,5,39.15444444444444,SPXC,144.0,144.0,144.0,144.0,100,1,144.0
2024-06-24 10:35:10,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:35:15,EPAC,39.19,39.19,39.19,39.19,100,1,39.19,SPXC,144.0,144.0,143.99,144.0,1300,13,143.9988461538462
2024-06-24 10:35:20,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.0,144.0,144.0,144.0,100,1,144.0
2024-06-24 10:35:25,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:35:30,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:35:35,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:35:40,EPAC,39.19,39.19,39.15,39.16,300,3,39.16666666666667,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:35:45,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:35:50,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:35:55,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:00,EPAC,39.15,39.15,39.15,39.15,0,0,39.15,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:05,EPAC,39.16,39.16,39.16,39.16,100,1,39.16,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:10,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:15,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:20,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:25,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:30,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:35,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:40,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:45,EPAC,39.19,39.19,39.19,39.19,100,1,39.19,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:50,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
2024-06-24 10:36:55,EPAC,39.19,39.19,39.19,39.19,0,0,39.19,SPXC,144.0,144.0,144.0,144.0,0,0,144.0
